eventId,post_id,label,Pattern,type,Unnamed: 5,Templates,,
0,16848650,1,1,CORE-TPL,,"File <pyshell#146>, line 1, in <module> that[~(that>=5).nonzero()].max().eval()[SEP]AttributeError: 'TensorVariable' object has no attribute 'nonzero'",,
1,33622842,1,1,TPL-LLL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/site-packages/tensorflow/__init__.py, line 4, in <module> from tensorflow.python import *[SEP]File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 13, in <module> from tensorflow.core.framework.graph_pb2 import *[SEP]File <*>python2.7/site-packages/tensorflow/core/framework/graph_pb2.py, line 16, in <module> from tensorflow.core.framework import attr_value_pb2 as tensorflow_dot_core_dot_framework_dot_attr__value__pb2[SEP]File <*>python2.7/site-packages/tensorflow/core/framework/attr_value_pb2.py, line 16, in <module> from tensorflow.core.framework import tensor_pb2 as tensorflow_dot_core_dot_framework_dot_tensor__pb2[SEP]File <*>python2.7/site-packages/tensorflow/core/framework/tensor_pb2.py, line 16, in <module> from tensorflow.core.framework import tensor_shape_pb2 as tensorflow_dot_core_dot_framework_dot_tensor__shape__pb2[SEP]File <*>python2.7/site-packages/tensorflow/core/framework/tensor_shape_pb2.py, line 22, in <module> serialized_pb=_b('\n,tensorflow/core/framework/tensor_shape.proto \x12\ntensorflow\""d\n\x10TensorShapeProto\x12-\n\x03\x64im\x18\x02 \x03(\x0b\x32 .tensorflow.TensorShapeProto.Dim\x1a!\n\x03\x44im\x12\x0c\n\x04size\x18\x01 \x01(\x03\x12\x0c\n\x04name\x18\x02 \x01(\tb\x06proto3')[SEP]TypeError: __init__() got an unexpected keyword argument 'syntax'",,
3,33656551,1,2,TPL-TPL,,"File [FILE], line 1, in <module>() import tensorflow[SEP]File <*>python2.7/site-packages/tensorflow/__init__.py, line 4, in <module>() from tensorflow.python import *[SEP]File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 13, in <module>() from tensorflow.core.framework.graph_pb2 import *[SEP]File <*>python2.7/site-packages/tensorflow/core/framework/graph_pb2.py, line 8, in <module>() from google.protobuf import reflection as _reflection[SEP]File <*>python2.7/site-packages/google/protobuf/reflection.py, line 58, in <module>() from google.protobuf.internal import python_message as message_impl[SEP]File <*>python2.7/site-packages/google/protobuf/internal/python_message.py, line 59, in <module>() import six.moves.copyreg as copyreg[SEP]ImportError: No module named copyreg",,
4,33671372,1,1,TPL-LLL,,"File multiply.py, line 2, in <module> import tensorflow as tf[SEP]File <*>python2.7.10/site-packages/tensorflow/__init__.py, line 4, in <module> from tensorflow.python import *[SEP]File <*>python2.7.10/site-packages/tensorflow/python/__init__.py, line 22, in <module> from tensorflow.python.client.client_lib import *[SEP]File <*>python2.7.10/site-packages/tensorflow/python/client/client_lib.py, line 35, in <module> from tensorflow.python.client.session import InteractiveSession[SEP]File <*>python2.7.10/site-packages/tensorflow/python/client/session.py, line 11, in <module> from tensorflow.python import pywrap_tensorflow as tf_session[SEP]File <*>python2.7.10/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper()[SEP]File <*>python2.7.10/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description)[SEP]ImportError: libcudart.so.7.0: cannot open shared object file: No such file or directory",,
5,34295136,1,1,TPL-python,,"File classify.py, line 14, in <module> import caffe[SEP]File <*>/__init__.py, line 1, in <module> from .pycaffe import Net, SGDSolver[SEP]File <*>/pycaffe.py, line 13, in <module> from ._caffe import Net, SGDSolver[SEP]ImportError: dynamic module does not define module export function (PyInit__caffe)",,
6,35596795,1,1,TPL-hardware,,"File <*>python3.5/site-packages/theano/gof/opt.py, line 1772, in process_node replacements = lopt.transform(node)[SEP]File <*>python3.5/site-packages/theano/sandbox/gpuarray/opt.py, line 140, in local_opt new_op = maker(node, context_name)[SEP]File <*>python3.5/site-packages/theano/sandbox/gpuarray/opt.py, line 732, in local_gpua_hgemm if nvcc_compiler.nvcc_version < '7.5':[SEP]TypeError: unorderable types: NoneType() < str()",,
7,35735162,1,1,TPL-LLL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/site-packages/tensorflow/__init__.py, line 23, in <module> from tensorflow.python import *[SEP]File <*>python2.7/site-packages/tensorflow/python/__init__.py, line 49, in <module> from tensorflow import contrib[SEP]File <*>python2.7/site-packages/tensorflow/contrib/__init__.py, line 23, in <module> from tensorflow.contrib import layers[SEP]File <*>python2.7/site-packages/tensorflow/contrib/layers/__init__.py, line 68, in <module> from tensorflow.contrib.layers.python.layers import *[SEP]File <*>python2.7/site-packages/tensorflow/contrib/layers/python/layers/__init__.py, line 22, in <module> from tensorflow.contrib.layers.python.layers.initializers import *[SEP]File <*>python2.7/site-packages/tensorflow/contrib/layers/python/layers/initializers.py, line 24, in <module> from tensorflow.python.ops import random_ops[SEP]File <*>python2.7/site-packages/tensorflow/python/ops/random_ops.py, line 23, in <module> from tensorflow.python.framework import ops[SEP]File <*>python2.7/site-packages/tensorflow/python/framework/ops.py, line 39, in <module> from tensorflow.python.framework import versions[SEP]File <*>python2.7/site-packages/tensorflow/python/framework/versions.py, line 22, in <module> from tensorflow.python import pywrap_tensorflow[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 28, in <module> _pywrap_tensorflow = swig_import_helper()[SEP]File <*>python2.7/site-packages/tensorflow/python/pywrap_tensorflow.py, line 24, in swig_import_helper _mod = imp.load_module('_pywrap_tensorflow', fp, pathname, description)[SEP]ImportError: libcudart.so.7.5: cannot open shared object file: No such file or directory",,
8,35905264,1,1,CORE-TPL,,"File <stdin>, line 1, in <module> [CODE][SEP]ImportError: No module named data_utils",,
10,36490849,1,1,TPL-TPL,,"File <stdin>, line 1, in <module> [CODE][SEP]File <*>python2.7/site-packages/prettytensor-0.6.0-py2.7.egg/prettytensor/__init__.py, line 25, in <module> from prettytensor import funcs[SEP]File <*>python2.7/site-packages/prettytensor-0.6.0-py2.7.egg/prettytensor/funcs.py, line 25, in <module> from prettytensor.pretty_tensor_image_methods import *[SEP]File <*>python2.7/site-packages/prettytensor-0.6.0-py2.7.egg/prettytensor/pretty_tensor_image_methods.py, line 20, in <module> from prettytensor import layers[SEP]ImportError: cannot import name layers",,
11,37002134,1,1,CORE-TPL,,"File <*>/fully_connected_feed.py, line 27, in [FUNC] [CODE][SEP]File <*>/input_data.py, line 29, in [FUNC] [CODE][SEP]ImportError: No module named contrib.learn.python.learn.datasets.mnist",,
